filepath,label
chunks\real\musk-original_chunk9.wav,0
chunks\real\musk-original_chunk90.wav,0
chunks\real\musk-original_chunk91.wav,0
chunks\real\musk-original_chunk92.wav,0
chunks\real\musk-original_chunk93.wav,0
chunks\real\musk-original_chunk94.wav,0
chunks\real\musk-original_chunk95.wav,0
chunks\real\musk-original_chunk96.wav,0
chunks\real\musk-original_chunk97.wav,0
chunks\real\musk-original_chunk98.wav,0
chunks\real\musk-original_chunk99.wav,0
chunks\real\obama-original_chunk0.wav,0
chunks\real\obama-original_chunk1.wav,0
chunks\real\obama-original_chunk10.wav,0
chunks\real\obama-original_chunk100.wav,0
chunks\real\obama-original_chunk101.wav,0
chunks\real\obama-original_chunk102.wav,0
chunks\real\obama-original_chunk103.wav,0
chunks\real\obama-original_chunk104.wav,0
chunks\real\obama-original_chunk105.wav,0
chunks\real\obama-original_chunk106.wav,0
chunks\real\obama-original_chunk107.wav,0
chunks\real\obama-original_chunk108.wav,0
chunks\real\obama-original_chunk109.wav,0
chunks\real\obama-original_chunk11.wav,0
chunks\real\obama-original_chunk110.wav,0
chunks\real\obama-original_chunk111.wav,0
chunks\real\obama-original_chunk112.wav,0
chunks\real\obama-original_chunk113.wav,0
chunks\real\obama-original_chunk114.wav,0
chunks\real\obama-original_chunk115.wav,0
chunks\real\obama-original_chunk116.wav,0
chunks\real\obama-original_chunk117.wav,0
chunks\real\obama-original_chunk118.wav,0
chunks\real\obama-original_chunk119.wav,0
chunks\real\obama-original_chunk12.wav,0
chunks\real\obama-original_chunk120.wav,0
chunks\real\obama-original_chunk121.wav,0
chunks\real\obama-original_chunk122.wav,0
chunks\real\obama-original_chunk123.wav,0
chunks\real\obama-original_chunk124.wav,0
chunks\real\obama-original_chunk125.wav,0
chunks\real\obama-original_chunk126.wav,0
chunks\real\obama-original_chunk127.wav,0
chunks\real\obama-original_chunk128.wav,0
chunks\real\obama-original_chunk129.wav,0
chunks\real\obama-original_chunk13.wav,0
chunks\real\obama-original_chunk130.wav,0
chunks\real\obama-original_chunk131.wav,0
chunks\real\obama-original_chunk132.wav,0
chunks\real\obama-original_chunk133.wav,0
chunks\real\obama-original_chunk134.wav,0
chunks\real\obama-original_chunk135.wav,0
chunks\real\obama-original_chunk136.wav,0
chunks\real\obama-original_chunk137.wav,0
chunks\real\obama-original_chunk138.wav,0
chunks\real\obama-original_chunk139.wav,0
chunks\real\obama-original_chunk14.wav,0
chunks\real\obama-original_chunk140.wav,0
chunks\real\obama-original_chunk141.wav,0
chunks\real\obama-original_chunk142.wav,0
